uuid,adm4_pcode,date,freq,osm_wetland_nearest,osm_reservoir_nearest,osm_water_nearest,osm_riverbank_nearest,osm_dock_nearest,osm_river_nearest,osm_stream_nearest,osm_canal_nearest,osm_drain_nearest
OSMWB000672,PH063022151,2018-01-01,Y,2997.892912067189,10000.0,1090.116836178291,1530.76344809118,8067.984098187159,0.0,0.0,2274.303762652933,7020.361121556667
OSMWB000673,PH063022046,2018-01-01,Y,602.7337040372231,10000.0,128.27955310162648,196.93381993537648,4603.301538556487,284.40063402473464,635.4840698017124,1613.1854834333142,8043.765646515355
OSMWB000674,PH063022061,2018-01-01,Y,1748.739578552084,10000.0,469.6045087182508,273.64664415660536,2801.718363486962,349.4273518049573,1129.811744341981,2679.581427855599,9915.10044036476
OSMWB000675,PH063022146,2018-01-01,Y,67.89149626159252,10000.0,672.068072200707,0.0,4416.987982714479,0.0,1375.4708094761136,1084.611220769522,9112.40877746272
OSMWB000676,PH063022185,2018-01-01,Y,564.7026172977885,10000.0,499.6299277204669,384.24074906349,5184.853960021054,743.2712542127485,2662.6671124268664,1282.8388456164105,10000.0
OSMWB000677,PH063022202,2018-01-01,Y,289.87467990161247,10000.0,297.50265081531904,0.0,4680.283536926107,0.0,882.3042516553289,1320.2742308573042,8441.833500835144
OSMWB000678,PH063022088,2018-01-01,Y,372.4410555408624,10000.0,446.70233987939696,0.0,4188.964873994113,0.0,746.2666807490658,1583.922060803274,8594.737244315951
OSMWB000679,PH063022057,2018-01-01,Y,979.6078153294892,10000.0,968.383755139071,800.4199595450253,4263.099182937233,879.0825488339883,1879.743833575192,1701.0089696540324,10000.0
OSMWB00067A,PH063022075,2018-01-01,Y,524.2553742409018,10000.0,849.6054097588517,433.1912309400702,4751.54338104156,475.3614901978715,2031.052038709184,1239.1229096755665,10000.0
OSMWB0006F0,PH063022084,2021-01-01,Y,1380.4357570601858,10000.0,600.8547969773733,589.5264736559909,6254.980741435416,123.80016546775298,1566.062465790057,1116.3226027028336,7643.825919822537
OSMWB0006F1,PH063022081,2021-01-01,Y,890.1423581423003,10000.0,543.3178400782018,386.96414948898575,4040.0565058827856,453.7547150967426,1431.4636621181576,1772.36215072983,9807.809568919363
OSMWB0006F2,PH063022178,2021-01-01,Y,1419.0343913251868,10000.0,665.145148371917,1115.5336034485294,7394.62822907008,356.09861944747786,587.2443323269583,1127.8863096146274,9031.444505473475
OSMWB0006F3,PH063022189,2021-01-01,Y,139.8177499696033,10000.0,643.2638649786358,52.68056863202389,4841.292688203836,95.55440059749066,1972.223455378524,826.9879980623136,9686.947787845693
OSMWB0006F4,PH063022064,2021-01-01,Y,2082.9547729866163,10000.0,878.0572052666467,1684.0712616226426,8515.600463299397,580.8248373793956,564.9267220912877,2278.5248488629786,9217.99420652068
OSMWB0006F5,PH063022033,2021-01-01,Y,3375.598647028143,9353.993282132777,1700.5449345047325,241.88445649267123,9257.039642846656,272.31213477719643,843.5475880753792,798.4517751392285,4217.345547490586
