uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,case_total
DPSRT000453,W,2009-10-12,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,1
DPSRT00045F,W,2009-10-19,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,1
DPSRT00046B,W,2009-10-26,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,3
DPSRT000477,W,2009-11-02,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,8
DPSRT000483,W,2009-11-09,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,1
DPSRT00048F,W,2009-11-16,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,3
DPSRT00049B,W,2009-11-23,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,2
DPSRT0004A7,W,2009-11-30,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,1
DPSRT0004B3,W,2009-12-07,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,1
DPSRT0004BF,W,2009-12-14,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0004CB,W,2009-12-21,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0004D7,W,2009-12-28,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT0004E3,W,2010-01-04,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,12
DPSRT0004EF,W,2010-01-11,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,3
DPSRT0004FB,W,2010-01-18,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,3
DPSRT000507,W,2010-01-25,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,5
DPSRT000513,W,2010-02-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,3
DPSRT00051F,W,2010-02-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,4
DPSRT00052B,W,2010-02-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,4
DPSRT000537,W,2010-02-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,1
DPSRT000543,W,2010-03-01,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,1
DPSRT00054F,W,2010-03-08,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
DPSRT00055B,W,2010-03-15,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,1
DPSRT000567,W,2010-03-22,PIDSR-DOH,City-weekly_2008-2022,PH063022000,A09.0,ACUTE BLOODY DIARRHEA,0
