uuid,adm4_pcode,date,freq,brgy_healthcenter_pop_reached_5min,brgy_healthcenter_pop_reached_15min,brgy_healthcenter_pop_reached_30min,brgy_healthcenter_pop_reached_pct_5min,brgy_healthcenter_pop_reached_pct_15min,brgy_healthcenter_pop_reached_pct_30min,hospital_pop_reached_5min,hospital_pop_reached_15min,hospital_pop_reached_30min,hospital_pop_reached_pct_5min,hospital_pop_reached_pct_15min,hospital_pop_reached_pct_30min,rhu_pop_reached_5min,rhu_pop_reached_15min,rhu_pop_reached_30min,rhu_pop_reached_pct_5min,rhu_pop_reached_pct_15min,rhu_pop_reached_pct_30min
MBISO000105,PH063022160,2022-01-01,S,4256.3,4598.9,4598.9,89.65,96.87,96.87,4501.14,4598.9,4598.9,94.81,96.87,96.87,1420.66,4598.9,4598.9,29.92,96.87,96.87
MBISO000106,PH063022161,2022-01-01,S,478.71,478.71,478.71,100.0,100.0,100.0,0.0,478.71,478.71,0.0,100.0,100.0,0.0,478.71,478.71,0.0,100.0,100.0
MBISO000107,PH063022163,2022-01-01,S,2952.24,2952.24,2952.24,97.42,97.42,97.42,2952.24,2952.24,2952.24,97.42,97.42,97.42,0.0,2952.24,2952.24,0.0,97.42,97.42
MBISO000108,PH063022164,2022-01-01,S,2255.14,2255.14,2255.14,100.0,100.0,100.0,0.0,2255.14,2255.14,0.0,100.0,100.0,2255.14,2255.14,2255.14,100.0,100.0,100.0
MBISO000109,PH063022165,2022-01-01,S,1740.71,1740.71,1740.71,100.0,100.0,100.0,1740.71,1740.71,1740.71,100.0,100.0,100.0,1679.8,1740.71,1740.71,96.5,100.0,100.0
MBISO00010A,PH063022166,2022-01-01,S,1739.34,1739.34,1739.34,100.0,100.0,100.0,0.0,1739.34,1739.34,0.0,100.0,100.0,1739.34,1739.34,1739.34,100.0,100.0,100.0
MBISO00010B,PH063022167,2022-01-01,S,2170.83,2170.83,2170.83,100.0,100.0,100.0,0.0,2170.83,2170.83,0.0,100.0,100.0,2076.93,2170.83,2170.83,95.67,100.0,100.0
MBISO00010C,PH063022168,2022-01-01,S,4247.55,4247.55,4247.55,100.0,100.0,100.0,0.0,2497.57,4247.55,0.0,58.8,100.0,1605.82,4247.55,4247.55,37.81,100.0,100.0
MBISO00010D,PH063022169,2022-01-01,S,1679.99,1679.99,1679.99,100.0,100.0,100.0,0.0,1679.99,1679.99,0.0,100.0,100.0,1679.99,1679.99,1679.99,100.0,100.0,100.0
MBISO00010E,PH063022170,2022-01-01,S,598.05,598.05,598.05,100.0,100.0,100.0,0.0,598.05,598.05,0.0,100.0,100.0,0.0,598.05,598.05,0.0,100.0,100.0
MBISO00010F,PH063022171,2022-01-01,S,4015.31,7395.48,7395.48,54.29,100.0,100.0,82.12,7395.48,7395.48,1.11,100.0,100.0,3484.84,7395.48,7395.48,47.12,100.0,100.0
MBISO000110,PH063022172,2022-01-01,S,2786.18,2786.18,2786.18,53.24,53.24,53.24,1119.54,2786.18,2786.18,21.39,53.24,53.24,1119.54,2786.18,2786.18,21.39,53.24,53.24
MBISO000111,PH063022173,2022-01-01,S,1280.66,1280.66,1280.66,100.0,100.0,100.0,1280.66,1280.66,1280.66,100.0,100.0,100.0,1223.71,1280.66,1280.66,95.55,100.0,100.0
MBISO000112,PH063022174,2022-01-01,S,2195.82,2195.82,2195.82,100.0,100.0,100.0,2195.82,2195.82,2195.82,100.0,100.0,100.0,2195.82,2195.82,2195.82,100.0,100.0,100.0
MBISO000113,PH063022175,2022-01-01,S,8348.71,8348.71,8348.71,100.0,100.0,100.0,1282.34,8348.71,8348.71,15.36,100.0,100.0,0.0,8348.71,8348.71,0.0,100.0,100.0
MBISO000114,PH063022176,2022-01-01,S,1416.18,1416.18,1416.18,100.0,100.0,100.0,1416.18,1416.18,1416.18,100.0,100.0,100.0,1416.18,1416.18,1416.18,100.0,100.0,100.0
MBISO000115,PH063022177,2022-01-01,S,4223.27,5103.25,5103.25,82.76,100.0,100.0,0.0,5103.25,5103.25,0.0,100.0,100.0,0.0,5103.25,5103.25,0.0,100.0,100.0
MBISO000116,PH063022178,2022-01-01,S,3396.95,3396.95,3396.95,91.66,91.66,91.66,3396.95,3396.95,3396.95,91.66,91.66,91.66,3396.95,3396.95,3396.95,91.66,91.66,91.66
MBISO000117,PH063022179,2022-01-01,S,3893.72,3981.48,3981.48,97.8,100.0,100.0,3852.14,3981.48,3981.48,96.75,100.0,100.0,0.0,0.0,3981.48,0.0,0.0,100.0
MBISO000118,PH063022181,2022-01-01,S,441.91,441.91,441.91,87.62,87.62,87.62,441.91,441.91,441.91,87.62,87.62,87.62,441.91,441.91,441.91,87.62,87.62,87.62
MBISO000119,PH063022182,2022-01-01,S,616.11,616.11,616.11,83.41,83.41,83.41,0.0,616.11,616.11,0.0,83.41,83.41,616.11,616.11,616.11,83.41,83.41,83.41
MBISO00011A,PH063022183,2022-01-01,S,5730.19,6293.61,6293.61,81.43,89.43,89.43,0.0,5791.29,6293.61,0.0,82.29,89.43,0.0,6293.61,6293.61,0.0,89.43,89.43
MBISO00011B,PH063022185,2022-01-01,S,274.75,274.75,274.75,58.75,58.75,58.75,274.75,274.75,274.75,58.75,58.75,58.75,274.75,274.75,274.75,58.75,58.75,58.75
MBISO00011C,PH063022186,2022-01-01,S,671.95,671.95,671.95,91.81,91.81,91.81,671.95,671.95,671.95,91.81,91.81,91.81,466.48,671.95,671.95,63.74,91.81,91.81
MBISO00011D,PH063022187,2022-01-01,S,1233.51,1233.51,1233.51,100.0,100.0,100.0,0.0,1233.51,1233.51,0.0,100.0,100.0,0.0,1233.51,1233.51,0.0,100.0,100.0
MBISO00011E,PH063022188,2022-01-01,S,4304.36,4304.36,4304.36,100.0,100.0,100.0,0.0,4304.36,4304.36,0.0,100.0,100.0,4089.68,4304.36,4304.36,95.01,100.0,100.0
MBISO00011F,PH063022189,2022-01-01,S,1223.63,1223.63,1223.63,100.0,100.0,100.0,1223.63,1223.63,1223.63,100.0,100.0,100.0,0.0,1223.63,1223.63,0.0,100.0,100.0
MBISO000120,PH063022191,2022-01-01,S,1185.9,1185.9,1185.9,100.0,100.0,100.0,576.89,1185.9,1185.9,48.65,100.0,100.0,576.89,1185.9,1185.9,48.65,100.0,100.0
MBISO000121,PH063022192,2022-01-01,S,767.68,767.68,767.68,54.46,54.46,54.46,767.68,767.68,767.68,54.46,54.46,54.46,767.68,767.68,767.68,54.46,54.46,54.46
MBISO000122,PH063022193,2022-01-01,S,270.74,270.74,270.74,100.0,100.0,100.0,270.74,270.74,270.74,100.0,100.0,100.0,270.74,270.74,270.74,100.0,100.0,100.0
MBISO000123,PH063022194,2022-01-01,S,4217.25,4217.25,4217.25,90.86,90.86,90.86,0.0,4072.17,4217.25,0.0,87.74,90.86,4072.17,4217.25,4217.25,87.74,90.86,90.86
MBISO000124,PH063022195,2022-01-01,S,2402.18,2402.18,2402.18,100.0,100.0,100.0,0.0,2402.18,2402.18,0.0,100.0,100.0,2402.18,2402.18,2402.18,100.0,100.0,100.0
MBISO000125,PH063022196,2022-01-01,S,2214.53,2214.53,2214.53,97.02,97.02,97.02,2214.53,2214.53,2214.53,97.02,97.02,97.02,1922.34,2214.53,2214.53,84.22,97.02,97.02
MBISO000126,PH063022197,2022-01-01,S,1246.61,1246.61,1246.61,100.0,100.0,100.0,1246.61,1246.61,1246.61,100.0,100.0,100.0,0.0,1246.61,1246.61,0.0,100.0,100.0
MBISO000127,PH063022198,2022-01-01,S,468.69,468.69,468.69,64.92,64.92,64.92,468.69,468.69,468.69,64.92,64.92,64.92,468.69,468.69,468.69,64.92,64.92,64.92
MBISO000128,PH063022199,2022-01-01,S,1749.53,1749.53,1749.53,100.0,100.0,100.0,0.0,1749.53,1749.53,0.0,100.0,100.0,0.0,1749.53,1749.53,0.0,100.0,100.0
MBISO000129,PH063022200,2022-01-01,S,128.99,128.99,128.99,21.33,21.33,21.33,128.99,128.99,128.99,21.33,21.33,21.33,0.0,128.99,128.99,0.0,21.33,21.33
MBISO00012A,PH063022201,2022-01-01,S,4518.7,4518.7,4518.7,100.0,100.0,100.0,1227.54,4518.7,4518.7,27.17,100.0,100.0,1382.7,4518.7,4518.7,30.6,100.0,100.0
MBISO00012B,PH063022202,2022-01-01,S,1179.17,1179.17,1179.17,100.0,100.0,100.0,710.07,1179.17,1179.17,60.22,100.0,100.0,1179.17,1179.17,1179.17,100.0,100.0,100.0
