uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PNHZD000197,PH063022113,2015-01-01,S,3.6932,32.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000198,PH063022191,2015-01-01,S,16.3677,25.0461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD000199,PH063022047,2015-01-01,S,17.9504,27.5678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00019A,PH063022136,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00019B,PH063022096,2015-01-01,S,58.5463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00019C,PH063022089,2015-01-01,S,2.5282,42.5858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00019D,PH063022100,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00019E,PH063022090,2015-01-01,S,63.1444,13.9161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD00019F,PH063022003,2015-01-01,S,17.1293,1.4974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A0,PH063022195,2015-01-01,S,19.4649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A1,PH063022104,2015-01-01,S,95.8058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A2,PH063022051,2015-01-01,S,29.4837,28.7813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A3,PH063022065,2015-01-01,S,13.4167,1.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A4,PH063022128,2015-01-01,S,19.1117,6.2372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A5,PH063022076,2015-01-01,S,22.3395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A6,PH063022056,2015-01-01,S,19.1383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A7,PH063022019,2015-01-01,S,18.2899,10.5186,0.8411,3.2481,1.3179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A8,PH063022129,2015-01-01,S,36.5465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001A9,PH063022173,2015-01-01,S,2.8829,68.0329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001AA,PH063022087,2015-01-01,S,13.1782,18.9822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001AB,PH063022101,2015-01-01,S,1.6499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001AC,PH063022086,2015-01-01,S,46.2949,10.8327,0.2629,3.8811,0.9219,0.2477,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001AD,PH063022050,2015-01-01,S,27.4146,22.0486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001AE,PH063022200,2015-01-01,S,79.9217,11.9969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001AF,PH063022135,2015-01-01,S,27.2549,70.1785,2.5666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001B0,PH063022017,2015-01-01,S,8.9881,0.5748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNHZD0001B1,PH063022120,2015-01-01,S,18.2992,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
