uuid,freq,date,source_name,source_filename,adm3_pcode,disease_icd10_code,disease_common_name,death_total
DPSAT001982,W,2006-07-10,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT001983,W,2006-07-10,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,7
DPSAT001984,W,2006-07-10,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT001985,W,2006-07-10,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,5
DPSAT001986,W,2006-07-17,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,1
DPSAT001987,W,2006-07-17,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,1
DPSAT001988,W,2006-07-17,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,0
DPSAT001989,W,2006-07-17,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,5
DPSAT00198A,W,2006-07-17,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,3
DPSAT00198B,W,2006-07-17,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,4
DPSAT00198C,W,2006-07-24,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,3
DPSAT00198D,W,2006-07-24,PSA,City-weekly_2006_deaths,PH063022000,A27,LEPTOSPIROSIS,3
DPSAT00198E,W,2006-07-24,PSA,City-weekly_2006_deaths,PH063022000,A82,RABIES,0
DPSAT00198F,W,2006-07-24,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,1
DPSAT001990,W,2006-07-24,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,7
DPSAT001991,W,2006-07-24,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT001992,W,2006-07-24,PSA,City-weekly_2006_deaths,PH063022000,I21-I22,ISCHEMIC HEART DISEASE,4
DPSAT001993,W,2006-07-31,PSA,City-weekly_2006_deaths,PH063022000,A00,CHOLERA,0
DPSAT001994,W,2006-07-31,PSA,City-weekly_2006_deaths,PH063022000,A09,GASTROENTERITIS,0
DPSAT001995,W,2006-07-31,PSA,City-weekly_2006_deaths,PH063022000,A90-A91,DENGUE FEVER,0
DPSAT001996,W,2006-07-31,PSA,City-weekly_2006_deaths,PH063022000,B15,HEPATITIS A,0
DPSAT001997,W,2006-07-31,PSA,City-weekly_2006_deaths,PH063022000,E08-E14,DIABETES,10
DPSAT001998,W,2006-07-31,PSA,City-weekly_2006_deaths,PH063022000,I11,HYPERTENSIVE HEART DISEASE,4
DPSAT001999,W,2006-07-31,PSA,City-weekly_2006_deaths,PH063022000,I20-I25,ANGINA,0
